real_stock_id	warehouse_id	item_id	item_code	item_name	current_quantity	reserved_quantity	parent_available_qty	lot_pickable_qty	missing_qty	reason	default_location_status	default_location_code	z00_code	z00_flags	z00_floor_id
35779	91	920000	920000	部システム９２０（お肉）	17536	0	17536	0	17536	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
1302	2	143024	143024	◎アサヒ　スーパードライ３５０ｍｌ	7147	0	7147	2003	5144	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	8
21799	91	400000	400000	部システム ４００   分類打	1996	0	1996	0	1996	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
7882	2	184144	184144	　サントリー　金麦３５０ｍｌ	2180	0	2180	1041	1139	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	8
23792	91	470000	470000	　部システム４７０（化粧箱）	1048	0	1048	0	1048	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
12527	2	210923	210923	　但馬の天然水５５０ｍｌ	1083	0	1083	372	711	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	8
23795	91	471010	471010	　一本義　７２０ｍｌ　共通カートン１枚	645	0	645	0	645	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
1248	2	142543	142543	　サントリー　生ビール３５０ｍｌ	1022	0	1022	455	567	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	8
1252	2	142627	142627	　キリン　晴れ風３５０ｍｌ	1157	0	1157	595	562	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	8
2122	2	143059	143059	◎キリン　一番搾り３５０ｍｌ	1352	0	1352	798	554	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	8
23195	21	184144	184144	　サントリー　金麦３５０ｍｌ	1021	0	1021	551	470	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
23797	91	471014	471014	　永平寺白龍　７２０ｍｌ共通カートン１枚	454	0	454	0	454	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
21237	21	184067	184067	　キリン　のどごし＜生＞　３５０ｍｌ	1130	0	1130	735	395	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
26760	11	184067	184067	　キリン　のどごし＜生＞　３５０ｍｌ	1596	0	1596	1220	376	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
27044	21	185012	185012	　アサヒ　クリアアサヒ　３５０ｍｌ	932	0	932	556	376	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
36133	9	184067	184067	　キリン　のどごし＜生＞　３５０ｍｌ	1087	0	1087	715	372	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
12331	4	147003	147003	　キリン　麒麟淡麗グリーンラベル３５０ｍｌ	1205	0	1205	835	370	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
2534	3	184067	184067	　キリン　のどごし＜生＞　３５０ｍｌ	1704	0	1704	1343	361	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	17
23800	91	471028	471028	　梵　７２０ｍｌ　共通カートン１枚	334	0	334	0	334	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
3065	2	147124	147124	　サッポロ　麦とホップ３５０ｍｌ	545	0	545	262	283	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	8
548	2	142330	142330	　アサヒ　スーパードライ　ドライクリスタル３５０ｍｌ	463	0	463	186	277	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	8
551	2	142368	142368	　キリン　一番搾り　糖質ゼロ３５０ｍｌ	596	0	596	320	276	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	8
23208	21	184233	184233	　タカラ　焼酎ハイボール　レモン３５０ｍｌ	360	0	360	87	273	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
47647	21	143059	143059	◎キリン　一番搾り３５０ｍｌ	738	0	738	483	255	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
47650	21	143074	143074	◎サッポロ　黒ラベル　３５０ｍｌ	569	0	569	322	247	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
432	4	147084	147084	　サントリー　金麦　糖質ｏｆｆ３５０ｍｌ	684	0	684	455	229	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
2474	3	143074	143074	◎サッポロ　黒ラベル　３５０ｍｌ	657	0	657	435	222	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	17
24827	11	147124	147124	　サッポロ　麦とホップ３５０ｍｌ	630	0	630	438	192	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
48109	71	142543	142543	　サントリー　生ビール３５０ｍｌ	712	0	712	520	192	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	7
47640	21	143025	143025	◎アサヒ　スーパードライ５００ｍｌ	365	0	365	176	189	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
29146	21	185524	185524	　キリン　氷結　無糖レモン　Ａｌｃ．４％　３５０ｍｌ	480	0	480	292	188	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
16356	7	141036	141036	◎キリン　一番搾り　大瓶６３３ｍｌ	248	0	248	61	187	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	16
16659	1	142368	142368	　キリン　一番搾り　糖質ゼロ３５０ｍｌ	473	0	473	287	186	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	2
17866	1	143025	143025	◎アサヒ　スーパードライ５００ｍｌ	440	0	440	256	184	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	2
36142	9	184144	184144	　サントリー　金麦３５０ｍｌ	729	0	729	549	180	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
19859	1	184256	184256	　タカラ　焼酎ハイボール　ドライ３５０ｍｌ	559	0	559	382	177	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	2
12511	2	210586	210586	　ミツウロコ　四季の恵み　天然水２Ｌ	371	0	371	199	172	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	8
11568	4	142627	142627	　キリン　晴れ風３５０ｍｌ	474	0	474	306	168	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
12300	4	143074	143074	◎サッポロ　黒ラベル　３５０ｍｌ	720	0	720	552	168	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
3389	3	147124	147124	　サッポロ　麦とホップ３５０ｍｌ	316	0	316	150	166	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	17
23213	21	184256	184256	　タカラ　焼酎ハイボール　ドライ３５０ｍｌ	296	0	296	131	165	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
42787	8	143005	143005	◎キリンラガー３５０ｍｌ	425	0	425	273	152	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	5
42461	91	150000	150000	部部システム１５０　分類	152	0	152	0	152	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
12319	4	145060	145060	　アサヒ　スタイルフリー　トリプルゼロ３５０ｍｌ	557	0	557	411	146	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
16677	1	145014	145014	　サッポロ　極ＺＥＲＯ３５０ｍｌ	255	0	255	111	144	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	2
49603	11	141080	141080	　サッポロ　ラガー　大瓶６３３ｍｌ	224	0	224	85	139	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
46251	91	251094	251094	　アサヒ　スタイルバランス　無糖レモンサワー２００ｍｌ	139	0	139	0	139	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
36151	9	184233	184233	　タカラ　焼酎ハイボール　レモン３５０ｍｌ	383	0	383	258	125	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
20252	1	211351	211351	　ＩＢ　強炭酸水１Ｌ	323	0	323	205	118	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	2
32312	10	112103	112103	　黒龍　吟醸　いっちょらい３００ｍｌ	118	0	118	0	118	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	15
47634	21	143005	143005	◎キリンラガー３５０ｍｌ	378	0	378	263	115	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
49588	11	141019	141019	◎アサヒ　スーパードライ　大瓶６３３ｍｌ	846	0	846	740	106	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
16874	1	114018	114018	◎白鶴まる　パック２Ｌ	141	0	141	38	103	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	2
4519	2	122279	122279	○２５°いいちこ（麦）パック１．８Ｌ	192	0	192	92	100	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	8
36134	9	184068	184068	　キリン　のどごし＜生＞　５００ｍｌ	158	0	158	62	96	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
49864	21	147124	147124	　サッポロ　麦とホップ３５０ｍｌ	258	0	258	162	96	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
29632	91	211407	211407	　サンガリア　伊賀の天然水　強炭酸水５００ｍｌＰＥＴ	748	0	748	652	96	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	L-11-101	Z-0-0	3	10
31687	91	211914	211914	　サントリー　天然水スパークリング５００ｍｌ	96	0	96	0	96	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
41268	9	147124	147124	　サッポロ　麦とホップ３５０ｍｌ	287	0	287	192	95	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
51530	71	184409	184409	　キリン　氷結ＺＥＲＯ　レモン　３５０ｍｌ	95	0	95	0	95	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	7
24824	11	147081	147081	　キリン　本麒麟５００ｍｌ	322	0	322	228	94	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
49862	21	147084	147084	　サントリー　金麦　糖質ｏｆｆ３５０ｍｌ	376	0	376	282	94	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
12332	4	147004	147004	　キリン　麒麟淡麗グリーンラベル５００ｍｌ	205	0	205	112	93	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
41259	9	147004	147004	　キリン　麒麟淡麗グリーンラベル５００ｍｌ	226	0	226	133	93	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
24786	11	145018	145018	　キリン　淡麗プラチナダブル５００ｍｌ	330	0	330	237	93	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
24816	11	147004	147004	　キリン　麒麟淡麗グリーンラベル５００ｍｌ	333	0	333	240	93	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
17869	1	143037	143037	◎キリンラガー５００ｍｌ	224	0	224	132	92	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	2
20830	11	142404	142404	　サントリー　パーフェクトサントリービール３５０ｍｌ	398	0	398	306	92	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
24782	11	143244	143244	　サントリー　プレミアムモルツ３５０ｍｌ	465	0	465	373	92	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
22782	11	142859	142859	　キリン　グッドエール３５０ｍｌ	441	0	441	350	91	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
26789	11	184256	184256	　タカラ　焼酎ハイボール　ドライ３５０ｍｌ	358	0	358	269	89	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
11565	4	142543	142543	　サントリー　生ビール３５０ｍｌ	624	0	624	537	87	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
2458	3	143005	143005	◎キリンラガー３５０ｍｌ	517	0	517	431	86	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	17
37853	9	184409	184409	　キリン　氷結ＺＥＲＯ　レモン　３５０ｍｌ	470	0	470	384	86	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
5054	3	185021	185021	　アサヒ　Ｏｆｆ（オフ）３５０ｍｌ缶	631	0	631	546	85	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	17
12334	4	147043	147043	　アサヒ　スタイルフリー３５０ｍｌ	693	0	693	610	83	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
23542	71	184145	184145	　サントリー　金麦５００ｍｌ	107	0	107	24	83	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	7
3387	3	147084	147084	　サントリー　金麦　糖質ｏｆｆ３５０ｍｌ	785	0	785	704	81	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	17
22762	11	142627	142627	　キリン　晴れ風３５０ｍｌ	590	0	590	512	78	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
33621	91	140000	140000	部システム １４０   分類	76	0	76	0	76	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
23531	71	159118	159118	　アヴェント　オーガニック　ブリュット　７５０ｍｌ	135	0	135	60	75	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	7
51764	22	112103	112103	　黒龍　吟醸　いっちょらい３００ｍｌ	72	0	72	0	72	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	3
51565	91	210608	210608	　明治　明治フルーツ２２０ｍｌ	72	0	72	0	72	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
29611	91	211264	211264	　ウィルキンソン　タンサン５００ｍｌＰＥＴ	1223	0	1223	1151	72	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	L-20-104	Z-0-0	3	10
51498	91	212123	212123	　大塚　ポカリスエット　イオンウォーター５００ｍｌ	72	0	72	0	72	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	Q-00-000	Z-0-0	3	10
21797	91	340000	340000	　ハリカ金額管理ギフト（仕入用）	71	0	71	0	71	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
42431	91	114150	114150	　白鶴　上撰　サケカップ２００ｍｌ	60	0	60	0	60	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
38998	91	160000	160000	部システム １６０ 	60	0	60	0	60	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
50501	91	287777	287777	　カイリューのやさしいうすしおポテト５０ｇ	4844	100	4744	4684	60	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	YX-0-000	Z-0-0	3	10
42126	21	141027	141027	◎キリン　ラガー　大瓶６３３ｍｌ	97	0	97	39	58	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	4
50386	91	153336	153336	　フォルタン　カベルネソービニヨン　１８７ｍｌ	58	0	58	0	58	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
38913	91	112651	112651	　一乃谷金印カップ１８０ｍｌ	57	0	57	0	57	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
9295	4	141020	141020	◎アサヒ　スーパードライ　中瓶５００ｍｌ	219	0	219	165	54	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
35561	91	111056	111056	○月桂冠上撰　キャップエース１８０ｍｌ	52	0	52	0	52	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
37850	9	184391	184391	　タカラ　カンチューハイ　レモン３５０ｍｌ	117	0	117	69	48	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
2467	3	143037	143037	◎キリンラガー５００ｍｌ	144	0	144	97	47	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	17
11608	4	143037	143037	◎キリンラガー５００ｍｌ	145	0	145	98	47	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
440	4	147204	147204	　きらやか麦　糖質７０％オフ３５０ｍｌ	142	0	142	96	46	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
40545	91	112975	112975	　小浜酒造純米酒わかさ３００ｍｌ	45	0	45	0	45	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
23592	91	122887	122887	　２５°本格芋焼酎　伊七郎７２０ｍｌ	45	0	45	0	45	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
50395	91	153498	153498	　フォルタン　シャルドネ　１８７ｍｌ	45	0	45	0	45	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
11560	4	142404	142404	　サントリー　パーフェクトサントリービール３５０ｍｌ	430	0	430	386	44	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
11617	4	184068	184068	　キリン　のどごし＜生＞　５００ｍｌ	177	0	177	133	44	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
12298	4	143060	143060	◎キリン　一番搾り５００ｍｌ	169	0	169	126	43	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	14
27520	91	210594	210594	　サントリー　ゼロッパ　５００ｍｌ	42	0	42	0	42	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
23799	91	471017	471017	　福千歳　７２０ｍｌ　共通カートン１枚	42	0	42	0	42	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
51765	22	112506	112506	　黒龍　九頭龍　逸品１．８Ｌ	41	0	41	0	41	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	3
48142	71	147271	147271	　サントリー　金麦　ザ・ラガー３５０ｍｌ	41	0	41	0	41	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	7
46089	91	120000	120000	部システム １２０ 	41	0	41	0	41	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
17788	1	141037	141037	○キリン　一番搾り　中瓶５００ｍｌ	82	0	82	42	40	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	2
2477	3	143085	143085	　サッポロ　エビス３５０ｍｌ	262	0	262	222	40	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	17
36110	9	141037	141037	○キリン　一番搾り　中瓶５００ｍｌ	81	0	81	41	40	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
44938	9	210923	210923	　但馬の天然水５５０ｍｌ	496	0	496	456	40	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	13
49591	11	141027	141027	◎キリン　ラガー　大瓶６３３ｍｌ	455	0	455	415	40	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
49602	11	141078	141078	　サントリープレミアムモルツ　中瓶５００ｍｌ	54	0	54	14	40	LOT_QTY_SHORT	HAS_DEFAULT_LOCATION	ZZ-1-100	Z-0-0	3	6
23798	91	471015	471015	　永平寺白龍　１．８Ｌ　１本　共通カートン１枚	40	0	40	0	40	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
23804	91	471100	471100	　一本義二本用箱	40	0	40	0	40	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
33652	91	157241	157241	　サンタヘレナ　アルパカ　シャルドネセミヨン　７５０ｍｌ	39	0	39	0	39	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
23803	91	471099	471099	　一本義一本用箱	39	0	39	0	39	NO_PICKABLE_LOT	NO_DEFAULT_LOCATION		Z-0-0	3	10
35669	91	158022	158022	　フォルタン　シャルドネ　３７５ｍｌ	38	0	38	0	38	NO_PICKABLE_LOT	HAS_DEFAULT_LOCATION	ZZ-1	Z-0-0	3	10
