仕入,仕入先名,入力ＣＤ,単品ＣＤ,表示正式名称
1330,三菱食品株式会社,1160055,116005,　清酒正宗鬼ころしパック３Ｌ
1330,三菱食品株式会社,1810349,181034,　福徳長　国産米１００％使用の料理清酒１．８Ｌ
1330,三菱食品株式会社,4582163124817,111239,　富久娘上撰１．８Ｌ
1330,三菱食品株式会社,4901411001999,147003,　キリン　麒麟淡麗グリーンラベル３５０ｍｌ
1330,三菱食品株式会社,4901411002033,147004,　キリン　麒麟淡麗グリーンラベル５００ｍｌ
1330,三菱食品株式会社,4901411003061,184658,　キリン　氷結　レモン３５０ｍｌ
1330,三菱食品株式会社,4901411004716,143178,　キリンクラシックラガー３５０ｍｌ
1330,三菱食品株式会社,4901411009179,143260,　キリン　一番搾り　とれたてホップ３５０ｍｌ
1330,三菱食品株式会社,4901411009216,143261,　キリン　一番搾り　とれたてホップ５００ｍｌ
1330,三菱食品株式会社,4901411011547,184067,　キリン　のどごし＜生＞　３５０ｍｌ
1330,三菱食品株式会社,4901411011585,184068,　キリン　のどごし＜生＞　５００ｍｌ
1330,三菱食品株式会社,4901411014333,141003,　キリン　一番搾り　とれたてホップ中瓶５００ｍｌ
1330,三菱食品株式会社,4901411030784,144010,　ドラフトギネス樽詰１５Ｌ
1330,三菱食品株式会社,4901411031064,411009,　キリンギネス用混合ガスボンベ１０ｋｇ
1330,三菱食品株式会社,4901411046808,145017,　キリン　淡麗プラチナダブル３５０ｍｌ
1330,三菱食品株式会社,4901411046846,145018,　キリン　淡麗プラチナダブル５００ｍｌ
1330,三菱食品株式会社,4901411052809,132003,　ホワイトホースファインオールド７００ｍｌ
1330,三菱食品株式会社,4901411058610,143070,　ヤッホー　よなよなエール　生樽１５Ｌ
1330,三菱食品株式会社,4901411067421,183014,　キリン　茘枝酒　１．８Ｌ
1330,三菱食品株式会社,4901411067483,183074,　キリン　林檎酒１．８Ｌ
1330,三菱食品株式会社,4901411076454,184178,　キリン　本搾り　グレープフルーツ　３５０ｍｌ
1330,三菱食品株式会社,4901411076478,184299,　キリン　本搾り　レモン　３５０ｍｌ
1330,三菱食品株式会社,4901411083520,147017,　キリン　本麒麟３５０ｍｌ
1330,三菱食品株式会社,4901411083568,147081,　キリン　本麒麟５００ｍｌ
1330,三菱食品株式会社,4901411086798,185054,　キリン　ホワイトホース　ハイボール３５０ｍｌ
1330,三菱食品株式会社,4901411089591,147213,　キリン　のどごし　ＺＥＲＯ３５０ｍｌ
1330,三菱食品株式会社,4901411098531,184409,　キリン　氷結ＺＥＲＯ　レモン　３５０ｍｌ
1330,三菱食品株式会社,4901411105161,142368,　キリン　一番搾り　糖質ゼロ３５０ｍｌ
1330,三菱食品株式会社,4901411105215,142369,　キリン　一番搾り　糖質ゼロ５００ｍｌ
1330,三菱食品株式会社,4901411105970,185522,　キリン　氷結　無糖レモン　Ａｌｃ．７％３５０ｍｌ
1330,三菱食品株式会社,4901411106915,185524,　キリン　氷結　無糖レモン　Ａｌｃ．４％　３５０ｍｌ
1330,三菱食品株式会社,4901411110110,141027,◎キリン　ラガー　大瓶６３３ｍｌ
1330,三菱食品株式会社,4901411110219,141028,◎キリン　ラガー　中瓶５００ｍｌ
1330,三菱食品株式会社,4901411110318,141041,　キリン　ラガー　小瓶３３４ｍｌ
1330,三菱食品株式会社,4901411120225,147123,　キリン　本麒麟　香りの舞３５０ｍｌ
1330,三菱食品株式会社,4901411120263,147134,　キリン　本麒麟　香りの舞５００ｍｌ
1330,三菱食品株式会社,4901411122052,185952,　キリン　氷結　無糖シークヮーサー　ＡＬＣ．７％　３５０ｍｌ
1330,三菱食品株式会社,4901411122342,211827,　キリン　グリーンズフリー　小瓶３３４ｍｌ
1330,三菱食品株式会社,4901411133157,142627,　キリン　晴れ風３５０ｍｌ
1330,三菱食品株式会社,4901411133195,142628,　キリン　晴れ風５００ｍｌ
1330,三菱食品株式会社,4901411140032,141314,　キリン　晴れ風　中瓶５００ｍｌ
1330,三菱食品株式会社,4901411140094,143307,　キリン　晴れ風３ＬＰＥＴ
1330,三菱食品株式会社,4901411141190,142859,　キリン　グッドエール３５０ｍｌ
1330,三菱食品株式会社,4901411141220,142860,　キリン　グッドエール５００ｍｌ
1330,三菱食品株式会社,4901411141336,142773,　キリン　一番搾り　ホワイトビール３５０ｍｌ
1330,三菱食品株式会社,4901411141558,142774,　キリン　一番搾り　ホワイトビール５００ｍｌ
1330,三菱食品株式会社,4901411150109,143166,　キリン　一番搾り　生樽７Ｌ　
1330,三菱食品株式会社,4901411150208,143015,　キリン　一番搾り　生樽２０Ｌ
1330,三菱食品株式会社,4901411157511,143005,◎キリンラガー３５０ｍｌ
1330,三菱食品株式会社,4901411157610,143037,◎キリンラガー５００ｍｌ
1330,三菱食品株式会社,4901411157719,143059,◎キリン　一番搾り３５０ｍｌ
1330,三菱食品株式会社,4901411157818,143060,◎キリン　一番搾り５００ｍｌ
1330,三菱食品株式会社,4901411159003,171810,　キリン樽詰レモンハイ１５Ｌ
1330,三菱食品株式会社,4901411175010,141036,◎キリン　一番搾り　大瓶６３３ｍｌ
1330,三菱食品株式会社,4901411175119,141037,○キリン　一番搾り　中瓶５００ｍｌ
1330,三菱食品株式会社,4901411175416,141042,　キリン　一番搾り　小瓶３３４ｍｌ
1330,三菱食品株式会社,4901411180502,143122,　キリンラガー　生樽１５Ｌ　
1330,三菱食品株式会社,4901411188003,143277,　キリン　一番搾り　生樽１５Ｌ
1330,三菱食品株式会社,4901411188102,411083,　キリン炭酸ガス　ボンベ付５Ｋｇ
1330,三菱食品株式会社,4901411188805,143144,　キリンラガー　生樽２０Ｌ
1330,三菱食品株式会社,4901411503400,171184,　キリン樽詰サワー１５Ｌ
1330,三菱食品株式会社,4901411503509,143121,　キリン麒麟淡麗　生樽１５Ｌ
1330,三菱食品株式会社,4901411503608,148047,　キリン麒麟淡麗　生樽７Ｌ
1330,三菱食品株式会社,4901411511016,143049,　キリン　秋味　缶３５０ｍｌ
1330,三菱食品株式会社,4901411511214,143050,　キリン　秋味　缶５００ｍｌ
1330,三菱食品株式会社,4901411512518,143004,◎キリン麒麟淡麗＜生＞３５０ｍｌ
1330,三菱食品株式会社,4901411512716,143007,◎キリン麒麟淡麗＜生＞５００ｍｌ
1330,三菱食品株式会社,4901411528816,141026,○キリン　クラシックラガー　大瓶６３３ｍｌ
1330,三菱食品株式会社,4901411528915,141060,　キリン　クラシックラガー　中瓶５００ｍｌ
1330,三菱食品株式会社,4906666111110,122049,○２５°いいちこ（麦）瓶１．８Ｌ
1330,三菱食品株式会社,4906666111127,122279,○２５°いいちこ（麦）パック１．８Ｌ
1330,三菱食品株式会社,4906666111318,122050,○２５°いいちこ（麦）瓶９００ｍｌ
1330,三菱食品株式会社,4906666112124,122280,○２０°いいちこ（麦）パック１．８Ｌ
1330,三菱食品株式会社,4906666121416,122051,○２５°いいちこ（麦）シルエット７２０ｍｌ
1330,三菱食品株式会社,4906666171411,121079,○２５°いいちこ（麦）スーパー７２０ｍｌ
1330,三菱食品株式会社,4908838110716,213185,　ジューシー　アップル１００％１Ｌパック
1330,三菱食品株式会社,4908838112109,213310,　ジューシー　トロピカルマンゴー１Ｌパック
1330,三菱食品株式会社,4908838113908,213287,　ジューシー　グレープ１００％１Ｌパック
1330,三菱食品株式会社,4908838117104,213309,　ジューシー　ホワイトグレープフルーツ１Ｌパック
1330,三菱食品株式会社,4973480101047,121181,　２０°メルシャン三楽キュービテナー１８Ｌ
1330,三菱食品株式会社,4973480161027,121164,　２５°メルシャン大喜利ペット４Ｌ
1330,三菱食品株式会社,4978432055577,116015,　旬三昧　旨口の酒パック２Ｌ
1330,三菱食品株式会社,4978432055584,116019,　旬三昧　旨口の酒パック３Ｌ
1330,三菱食品株式会社,4978432055591,116061,　旬三昧　米だけの酒２Ｌパック
1330,三菱食品株式会社,4978432059988,116110,　清酒正宗鬼ころしパック２Ｌ
1330,三菱食品株式会社,4978432964640,116036,　清酒正宗純米酒パック２Ｌ