単品ＣＤ,表示正式名称,容量,入数,ＪＡＮコード
611023,中国産塩味枝豆５００ｇ,500,20,4972713911194
611032,中国産カットいんげん５００ｇ,500,20,4972713911491
612163,中国産　いか串　４５ｇ×１０本入,,24,4560331493521
621109,日東ベストＪＧ　新牛丼の素１５０ｇ,150,40,4902385004962
621294,ニチレイ　和風唐揚げ,1ｋｇ,12,4902130301278
621004,ちぬや冷食さめてもおいしい牛肉コロッケ７５０ｇ,750,12,4904591193034
612049,クラレイシーフードミックス４００ｇ,400,20,4972713191022
621052,ジェイフーズネット鉄板焼レストランハンバーグ２００ｇ,200,50,4940206900079
621043,ジェイフーズネットＪＦＮ釜揚げうどん５食１．２５Ｋｇ,1250,8,4940206900093
621087,ちぬや冷食鶏軟骨唐揚５００ｇ,500,20,4904591173449
246548,国産　ネギ塩　豚ホルモン,300,24,4940206013502
621095,広島県倉橋産かきフライ,500,20,4962910311156
621363,たこ焼４０個,1000,12,4940206903650
621203,アクト中食カレーコロッケ６００ｇ,,20,4972713191251
612116,広島県倉橋産冷凍かき　Ｌ１Ｋｇ,1,10,4962910212118
611030,中国産ブロッコリー５００ｇ,,20,4972713911385
621332,ハイファイフーズ　舞茸照り焼きソースハンバーグ１３５ｇ,,80,4972713911385
621275,味のちぬやおつまみささみチーズフライ５００ｇ,500,24,4904591177188
621353,ジャパンフードたこ焼き　２０ｇ５０個,,10,4560367761885
621035,アクト中食こだわりの焼おにぎり　８個５６０ｇ,560,15,4940206902462
286343,ジャパンフードサービス　鶏皮餃子１０個,,40,4589864601159
613133,アメリカ産　牛塩ホルモン２５０ｇ,,25,4582225968458
286448,オーストラリア産　牛タンスライス３２０ｇ,,15,4940206911594
246710,緒方商店　鶏皮せんべい１Ｋｇ,200,10,4902690036047