納品（仕入）伝票の出力規定　【現状通り：変更無】,,,,
,,,,
項目,出力項目名,編集タイプ,情報元,出力内容
①,納品場所,Ｘ（１０）,伝票ﾍﾀﾞｰ,
②,社名,Ｘ（１５）,ﾌｧｲﾙﾍﾀﾞｰ,
③,店名,Ｘ（１５）,伝票ﾍﾀﾞｰ,
④,社・店コード,Ｘ（０４）,伝票ﾍﾀﾞｰ,
⑤,分類コード,Ｘ（０３）,伝票ﾍﾀﾞｰ,
⑥,伝票区分,Ｘ（０２）,伝票ﾍﾀﾞｰ,
⑦,伝票番号,Ｘ（１１）,伝票ﾍﾀﾞｰ,伝票番号をセットします。
⑧,取引先コード,Ｘ（０４）,伝票ﾍﾀﾞｰ,
⑨,取引先名,,,自社で印刷する（社名／ＴＥＬ／ＦＡＸ）
⑩,発注日,９（０６）,伝票ﾍﾀﾞｰ,
⑪,納品日,９（０６）,伝票ﾍﾀﾞｰ,
⑫,便,Ｘ（０３）,伝票ﾍﾀﾞｰ,
⑬,品名,Ｎ（３２）,明細,Ｎ（１６）とＮ（１６）に分割して上下２段
⑭,ＪＡＮコード,Ｘ（１３）,明細,
⑮,自社コード,Ｘ（０６）,明細,
⑯,入数,９（０６）,明細,仕入入数
⑰,ケース,９（０７）,明細,ケース数
⑱,数量,９（０７）,明細,バラ数
⑲,原単価,９（１０）,明細,整数部９（８）桁と小数部９（２）桁に分けて小数部がゼロのとき、小数部には空白を印字する,,,,上段に御社の原価、下段に受信した単価を印字する。,,,,整数部の上２桁は、引合の区分項目に印字桁溢れさせる
⑳,売単価,９（０６）,明細,バラ換算の単品総数を印字,,,,ケース数がゼロ以外．．．ケース数ｘ仕入入数,,,,バラ数がゼロ以外．．．．バラ数
21_,Ｇ（備考）,Ｘ（１５）,伝票ﾍﾀﾞｰ,
22_,原価金額,９（０９）,計算値,⑲の上段の単価Ｘ⑳の売単価にセットした単品総数の計算値,,,,ただし欠品数を考慮したうえで単品総数を計算してください

追加仕様Bレコード
1	レコード区分	Ｘ（０１）	1	”Ｂ”固定
2	データ種別	９（０２）	2	”０２”固定
3	伝票番号	Ｘ（１１）	4
4	社・店コード	Ｘ（０４）	15
5	分類コード	Ｘ（０３）	19	商品の分類コードがセットされます
6	伝票区分	Ｘ（０２）	22	「０１」固定
7	発注日	９（０６）	24
8	納品日	９（０６）	30
9	便	Ｘ（０３）	36
10	取引先コード	Ｘ（０４）	39	受注企業コード
11	店名	Ｘ（１５）	43	カナで発注した店舗名
12	納品場所	Ｘ（１０）	58	カナで納品する場所
13	Ｇ（備考）	Ｘ（２５）	68
14	メーカー直送区分	Ｘ（０１）	69
15	ＦＩＬＬＥＲ	Ｘ（３５）	94
